trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
SuOO3O3 OB2145,6753,1,,"",0,500489,30000,
SuOO3O3 OB2230,6753,1,,"",0,500489,30000,
SuOO4O4 OB1200,6754,1,,"",0,500491,30004,
SuOO4O4 OB1305,6754,1,,"",0,500491,30004,
SuOO4O4 OB1410,6754,1,,"",0,500491,30004,
SuOO4O4 OB1515,6754,1,,"",0,500491,30004,
SuOO4O4 OB1620,6754,1,,"",0,500491,30004,
SuOO4O4 OB1725,6754,1,,"",0,500491,30004,
SuOO4O4 OB1830,6754,1,,"",0,500491,30004,
SuOO4O4 OB1935,6754,1,,"",0,500491,30004,
SuOO4O4 OB2040,6754,1,,"",0,500491,30004,
SuOO4O4 OB2145,6754,1,,"",0,500491,30004,
WkIGDLEL0630,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL0730,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL0830,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL0930,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL1030,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL1130,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL1230,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL1330,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL1430,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL1530,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL1630,5632,3,Gold Line - East,"",0,500511,24872,
WkIGDLEL1730,5632,3,Gold Line - East,"",0,500511,24872,
WkIO1O1 IB0635,6750,3,,"",1,500500,30122,
WkIO1O1 IB0650,6750,3,,"",1,500501,30122,
WkIO1O1 IB0705,6750,3,,"",1,500502,30122,
WkIO1O1 IB0720,6750,3,,"",1,500503,30122,
WkIO1O1 IB0735,6750,3,,"",1,500504,30122,
WkIO1O1 IB0755,6750,3,,"",1,500500,30122,
WkIO1O1 IB0810,6750,3,,"",1,500501,30122,
WkIO1O1 IB0825,6750,3,,"",1,500502,30122,
WkIO1O1 IB0840,6750,3,,"",1,500503,30122,
WkIO1O1 IB0855,6750,3,,"",1,500504,30122,
WkIO1O1 IB0915,6750,3,,"",1,500500,30122,
WkIO1O1 IB0930,6750,3,,"",1,500501,30122,
WkIO1O1 IB0945,6750,3,,"",1,500502,30122,
WkIO1O1 IB1000,6750,3,,"",1,500503,30122,
WkIO1O1 IB1015,6750,3,,"",1,500504,30122,
WkIO1O1 IB1035,6750,3,,"",1,500500,30122,
WkIO1O1 IB1050,6750,3,,"",1,500501,30122,
WkIO1O1 IB1105,6750,3,,"",1,500502,30122,
WkIO1O1 IB1120,6750,3,,"",1,500503,30122,
WkIO1O1 IB1135,6750,3,,"",1,500504,30122,
