stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7242186,,"Hill Avenue and Pleasant Avenue NB","",39.354515,-84.558567,,,0,,,0,,
7242187,,"Pleasant & Foster NB","",39.356927,-84.558367,,,0,,,0,,
7242188,,"Pleasant & St Clair NB","",39.359765,-84.55816,,,0,,,0,,
7242189,,"Pleasant & Fairview NB","",39.3718,-84.557299,,,0,,,0,,
7242190,,"Miami U - Hamilton NB","",39.37812,-84.561569,,,0,,,0,,
7242192,,"3rd & Dayton Street NB","",39.401042,-84.558186,,,0,,,0,,
7242193,,"Market Street Station - Area B","",39.400342,-84.560722,,,0,,,0,,
7242194,,"Main Street and D Street","",39.404032,-84.569191,,,0,,,0,,
7242195,,"Main and Eaton Street NB","",39.40689,-84.573366,,,0,,,0,,
7242196,,"Main & Lawn WB","",39.412092,-84.579733,,,0,,,0,,
7242197,,"Main St. and McKinley Ave.","",39.414565,-84.582655,,,0,,,0,,
7242198,,"Main & Brookwood WB","",39.420043,-84.58935,,,0,,,0,,
7242199,,"Kroger West Hamilton","",39.424841,-84.595018,,,0,,,0,,
7242200,,"Meijer/W. Hamilton Park & Ride - to Oxford","",39.431824,-84.598146,,,0,,,0,,
7242201,,"Island Lake Park NB","",39.449458,-84.685954,,,0,,,0,,
7242202,,"Indian Trace Talawanda","",39.491066,-84.722798,,,0,,,0,,
7242204,,"Oak and Harris","",39.501484,-84.736236,,,0,,,0,,
7242205,,"Richard Hall","",39.504736,-84.736156,,,0,,,0,,
7242206,,"Oak and Spring","",39.50687,-84.736105,,,0,,,0,,
7242207,421,"Miami Station C","",39.506889,-84.733053,,,0,,,0,,
7243072,,"Stanton Hall","",39.50199,-84.733178,,,0,,,0,,
7243074,,"Island Lake Park SB","",39.449201,-84.686034,,,0,,,0,,
7243075,,"Meijer/W. Hamilton Park & Ride","",39.431785,-84.598138,,,0,,,0,,
7243076,,"Bob Evans","",39.424819,-84.595449,,,0,,,0,,
7243077,,"Main & Brookwood EB","",39.420482,-84.590169,,,0,,,0,,
7243078,,"Butler Co. Lumber","",39.412635,-84.580704,,,0,,,0,,
7243079,,"Armstead Park","",39.403952,-84.569417,,,0,,,0,,
7243080,,"3rd and Dayton Street SB","",39.401064,-84.558659,,,0,,,0,,
7243082,,"Miami U. - Hamilton SB","",39.378212,-84.561817,,,0,,,0,,
7243083,,"Pleasant & Fairview SB","",39.3718,-84.557466,,,0,,,0,,
7243084,,"Pleasant & St Clair SB","",39.359724,-84.558334,,,0,,,0,,
7243085,,"Pleasant & Foster SB","",39.356996,-84.55854,,,0,,,0,,
7243900,,"Front & Court SB","",39.399666,-84.563779,,,0,,,0,,
7243901,,"Front & Wilson SB","",39.395172,-84.566064,,,0,,,0,,
7243902,,"Pershing & 2nd EB","",39.39378938266438,-84.56498638161469,,,0,,,0,,
7243906,,"Hanover & 14th EB","",39.389418,-84.549059,,,0,,,0,,
7243907,,"Erie & Grand SB","",39.382158,-84.549719,,,0,,,0,,
7243908,,"McDonald's/Erie Blvd.","",39.378659,-84.549875,,,0,,,0,,
7243909,,"Dixie Hwy. & Bobmeyer SB","",39.366756,-84.545632,,,0,,,0,,
7243910,,"Dixie Hwy. & Corwin SB","",39.362869,-84.543623,,,0,,,0,,
7243911,,"Dixie Hwy. & Hicks SB","",39.346502,-84.540544,,,0,,,0,,
7243912,,"Dixie Hwy. & Nilles SB","",39.339734,-84.534502,,,0,,,0,,
7243913,,"Dixie Hwy. & Boehm SB","",39.33522,-84.526805,,,0,,,0,,
7243914,,"Dixie Hwy. & Gilmore SB","",39.332328,-84.52221,,,0,,,0,,
7243915,,"Gilmore & Resor SB","",39.318523,-84.522503,,,0,,,0,,
